atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,97.33,..9.99,11.4,10.66..21.69,3.6,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,8.97,10.66..21.69,6.03,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,13.48,10.66..21.69,1.52,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
..9.88,97.33,..9.99,10.96,10.66..21.69,4.04,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,11.97,10.66..21.69,3.03,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.91,..0.97
..9.88,97.33,..9.99,12.3,10.66..21.69,2.7,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,10.21,10.66..21.69,4.79,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.91,..0.97
..9.88,97.33,..9.99,13.08,10.66..21.69,1.92,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.89,..0.97
..9.88,97.33,..9.99,11.19,10.66..21.69,3.81,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,10.47,10.66..21.69,4.53,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.9,..0.97
..9.88,97.33,..9.99,12.45,10.66..21.69,2.55,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.9,..0.97
..9.88,97.33,..9.99,8.24,10.66..21.69,6.76,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,12.73,10.66..21.69,2.27,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,13.19,10.66..21.69,1.81,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,9.63,10.66..21.69,5.37,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,7.84,10.66..21.69,7.16,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.93,..0.97
..9.88,97.33,..9.99,12.85,10.66..21.69,2.15,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.96,..0.97
..9.88,97.33,..9.99,13.48,10.66..21.69,1.52,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,8.62,10.66..21.69,6.38,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.92,..0.97
..9.88,97.33,..9.99,12.59,10.66..21.69,2.41,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.94,..0.97
..9.88,97.33,..9.99,7.42,10.66..21.69,7.58,4.32..8.09,..99.92,26.78..,..2.38,0.9..,..184.92,87.57..98.38,..14,0.95,..0.97
